Vernier Format 2
glaL4_A_8.cmbl 09.04.2019 10:41:18 .
Latest
Wavelength	Intensity
λ	I
nm	rel

220.025342973	0.001
220.293722993	0.001
220.562095052	0.001
220.830459149	0.001
221.098815285	0.001
221.367163457	0.001
221.635503666	0.001
221.903835912	0.001
222.172160193	0.001
222.440476509	0.001
222.70878486	0.001
222.977085245	0.001
223.245377663	0.001
223.513662115	0.001
223.781938599	0.001
224.050207115	0.001
224.318467662	0.001
224.586720241	0.001
224.854964849	0.001
225.123201487	0.001
225.391430155	0.001
225.659650851	0.001
225.927863576	0.001
226.196068328	0.001
226.464265107	0.001
226.732453913	0.001
227.000634745	0.001
227.268807603	0.001
227.536972485	0.001
227.805129392	0.001
228.073278323	0.001
228.341419277	0.001
228.609552254	0.001
228.877677253	0.001
229.145794274	0.001
229.413903316	0.001
229.682004379	0.001
229.950097462	0.001
230.218182565	0.001
230.486259687	0.001
230.754328827	0.001
231.022389986	0.001
231.290443161	0.001
231.558488354	0.001
231.826525563	0.001
232.094554788	0.001
232.362576029	0.001
232.630589284	0.001
232.898594553	0.001
233.166591836	0.001
233.434581132	0.001
233.702562441	0.001
233.970535762	0.001
234.238501095	0.001
234.506458439	0.001
234.774407793	0.001
235.042349157	0.001
235.310282531	0.001
235.578207913	0.001
235.846125304	0.001
236.114034703	0.001
236.381936109	0.001
236.649829521	0.001
236.91771494	0.001
237.185592365	0.001
237.453461795	0.001
237.721323229	0.001
237.989176668	0.001
238.25702211	0.001
238.524859555	0.001
238.792689002	0.001
239.060510452	0.001
239.328323902	0.001
239.596129354	0.001
239.863926806	0.001
240.131716258	0.001
240.399497709	0.001
240.667271159	0.001
240.935036607	0.001
241.202794052	0.001
241.470543495	0.001
241.738284934	0.001
242.00601837	0.001
242.2737438	0.001
242.541461226	0.001
242.809170646	0.001
243.076872061	0.001
243.344565468	0.001
243.612250868	0.001
243.879928261	0.001
244.147597645	0.001
244.415259021	0.001
244.682912387	0.001
244.950557744	0.001
245.21819509	0.001
245.485824425	0.001
245.753445748	0.001
246.02105906	0.001
246.288664359	0.001
246.556261645	0.001
246.823850917	0.001
247.091432176	0.001
247.359005419	0.001
247.626570648	0.001
247.89412786	0.001
248.161677056	0.001
248.429218236	0.001
248.696751398	0.001
248.964276542	0.001
249.231793668	0.001
249.499302775	0.001
249.766803862	0.001
250.03429693	0.001
250.301781977	0.001
250.569259002	0.001
250.836728006	0.001
251.104188988	0.001
251.371641947	0.001
251.639086883	0.001
251.906523795	0.001
252.173952683	0.001
252.441373546	0.001
252.708786383	0.001
252.976191195	0.001
253.24358798	0.001
253.510976738	0.001
253.778357469	0.001
254.045730171	0.001
254.313094845	0.001
254.58045149	0.001
254.847800105	0.001
255.11514069	0.001
255.382473244	0.001
255.649797766	0.001
255.917114257	0.001
256.184422716	0.001
256.451723142	0.001
256.719015534	0.001
256.986299892	0.001
257.253576216	0.001
257.520844505	0.001
257.788104758	0.001
258.055356975	0.001
258.322601156	0.001
258.589837299	0.001
258.857065404	0.001
259.124285472	0.001
259.3914975	0.001
259.658701489	0.001
259.925897439	0.001
260.193085347	0.001
260.460265215	0.001
260.727437042	0.001
260.994600826	0.001
261.261756568	0.001
261.528904267	0.001
261.796043922	0.001
262.063175534	0.001
262.3302991	0.001
262.597414621	0.001
262.864522097	0.001
263.131621526	0.001
263.398712908	0.001
263.665796243	0.001
263.93287153	0.001
264.199938769	0.001
264.466997958	0.001
264.734049099	0.001
265.001092189	0.001
265.268127228	0.001
265.535154217	0.001
265.802173153	0.001
266.069184038	0.001
266.33618687	0.001
266.603181648	0.001
266.870168373	0.001
267.137147044	0.001
267.404117659	0.001
267.671080219	0.001
267.938034724	0.001
268.204981171	0.001
268.471919562	0.001
268.738849895	0.001
269.005772171	0.001
269.272686387	0.001
269.539592544	0.001
269.806490642	0.001
270.07338068	0.001
270.340262656	0.001
270.607136572	0.001
270.874002425	0.001
271.140860217	0.001
271.407709945	0.001
271.67455161	0.001
271.941385211	0.001
272.208210747	0.001
272.475028218	0.001
272.741837624	0.001
273.008638964	0.001
273.275432237	0.001
273.542217442	0.001
273.808994581	0.001
274.07576365	0.001
274.342524651	0.001
274.609277583	0.001
274.876022445	0.001
275.142759236	0.001
275.409487957	0.001
275.676208606	0.001
275.942921183	0.001
276.209625687	0.001
276.476322118	0.001
276.743010476	0.001
277.00969076	0.001
277.276362968	0.001
277.543027102	0.001
277.80968316	0.001
278.076331141	0.001
278.342971046	0.001
278.609602874	0.001
278.876226623	0.001
279.142842294	0.001
279.409449886	0.001
279.676049399	0.001
279.942640831	0.001
280.209224183	0.001
280.475799454	0.001
280.742366643	0.001
281.00892575	0.001
281.275476774	0.001
281.542019715	0.001
281.808554572	0.001
282.075081345	0.001
282.341600033	0.001
282.608110635	0.001
282.874613152	0.001
283.141107582	0.001
283.407593925	0.001
283.67407218	0.001
283.940542348	0.001
284.207004426	0.001
284.473458416	0.001
284.739904316	0.001
285.006342126	0.001
285.272771845	0.001
285.539193472	0.001
285.805607008	0.001
286.072012451	0.001
286.338409802	0.001
286.604799059	0.001
286.871180222	0.001
287.13755329	0.001
287.403918264	0.001
287.670275142	0.001
287.936623924	0.001
288.202964609	0.001
288.469297197	0.001
288.735621687	0.001
289.001938079	0.001
289.268246372	0.001
289.534546566	0.001
289.80083866	0.001
290.067122653	0.001
290.333398546	0.001
290.599666337	0.001
290.865926026	0.001
291.132177612	0.001
291.398421096	0.001
291.664656475	0.001
291.930883751	0.001
292.197102922	0.001
292.463313987	0.001
292.729516947	0.001
292.995711801	0.001
293.261898548	0.001
293.528077187	0.001
293.794247718	0.001
294.060410141	0.001
294.326564455	0.001
294.59271066	0.001
294.858848754	0.001
295.124978738	0.001
295.391100611	0.001
295.657214372	0.001
295.923320021	0.001
296.189417557	0.001
296.45550698	0.001
296.721588289	0.001
296.987661483	0.001
297.253726563	0.001
297.519783527	0.001
297.785832376	0.001
298.051873108	0.001
298.317905723	0.001
298.58393022	0.001
298.849946599	0.001
299.11595486	0.001
299.381955001	0.001
299.647947023	0.001
299.913930925	0.001
300.179906705	0.001
300.445874365	0.001
300.711833902	0.001
300.977785318	0.001
301.24372861	0.001
301.509663779	0.001
301.775590824	0.001
302.041509744	0.001
302.307420539	0.001
302.573323209	0.001
302.839217752	0.001
303.105104169	0.001
303.370982459	0.001
303.636852621	0.001
303.902714654	0.001
304.168568559	0.001
304.434414335	0.001
304.70025198	0.001
304.966081495	0.001
305.23190288	0.001
305.497716132	0.001
305.763521253	0.001
306.029318241	0.001
306.295107096	0.001
306.560887818	0.001
306.826660405	0.001
307.092424857	0.001
307.358181175	0.001
307.623929356	0.001
307.889669401	0.001
308.15540131	0.001
308.421125081	0.001
308.686840714	0.001
308.952548208	0.001
309.218247564	0.001
309.48393878	0.001
309.749621856	0.001
310.015296791	0.001
310.280963585	0.001
310.546622238	0.001
310.812272748	0.001
311.077915116	0.001
311.34354934	0.001
311.609175421	0.001
311.874793357	0.001
312.140403148	0.001
312.406004794	0.001
312.671598294	0.001
312.937183647	0.001
313.202760854	0.001
313.468329913	0.001
313.733890823	0.001
313.999443585	0.001
314.264988198	0.001
314.530524661	0.001
314.796052974	0.001
315.061573137	0.001
315.327085147	0.001
315.592589006	0.001
315.858084713	0.001
316.123572267	0.001
316.389051667	0.001
316.654522913	0.001
316.919986005	0.001
317.185440941	0.001
317.450887722	0.001
317.716326347	0.001
317.981756815	0.001
318.247179126	0.001
318.51259328	0.001
318.777999275	0.001
319.043397111	0.001
319.308786787	0.001
319.574168304	0.001
319.839541661	0.001
320.104906856	0.001
320.37026389	0.001
320.635612762	0.001
320.900953472	0.001
321.166286018	0.001
321.4316104	0.001
321.696926619	0.001
321.962234673	0.001
322.227534561	0.001
322.492826284	0.001
322.75810984	0.001
323.02338523	0.001
323.288652452	0.001
323.553911506	0.001
323.819162392	0.001
324.084405109	0.001
324.349639656	0.001
324.614866033	0.001
324.880084239	0.001
325.145294275	0.001
325.410496139	0.001
325.67568983	0.001
325.940875349	0.001
326.206052694	0.001
326.471221866	0.001
326.736382863	0.001
327.001535685	0.001
327.266680332	0.001
327.531816803	0.001
327.796945098	0.001
328.062065215	0.001
328.327177155	0.001
328.592280917	0.001
328.8573765	0.001
329.122463904	0.001
329.387543128	0.001
329.652614172	0.001
329.917677035	0.001
330.182731717	0.001
330.447778217	0.001
330.712816535	0.001
330.977846669	0.001
331.24286862	0.001
331.507882388	0.001
331.77288797	0.001
332.037885368	0.001
332.30287458	0.001
332.567855606	0.001
332.832828445	0.001
333.097793097	0.001
333.362749561	0.001
333.627697837	0.001
333.892637924	0.001
334.157569821	0.001
334.422493529	0.001
334.687409046	0.001
334.952316373	0.001
335.217215508	0.001
335.48210645	0.001
335.746989201	0.001
336.011863758	0.001
336.276730121	0.001
336.54158829	0.001
336.806438265	0.001
337.071280044	0.001
337.336113628	0.001
337.600939015	0.001
337.865756205	0.001
338.130565198	0.001
338.395365993	0.001
338.66015859	0.001
338.924942987	0.001
339.189719185	0.001
339.454487183	0.001
339.71924698	0.001
339.983998576	0.001
340.248741971	0.001
340.513477163	0.001
340.778204153	0.001
341.042922939	0.001
341.307633521	0.001
341.572335899	0.001
341.837030072	0.001
342.10171604	0.001
342.366393801	0.001
342.631063356	0.001
342.895724704	0.001
343.160377845	0.001
343.425022777	0.001
343.689659501	0.001
343.954288016	0.001
344.21890832	0.001
344.483520415	0.001
344.748124299	0.001
345.012719971	0.001
345.277307432	0.001
345.54188668	0.001
345.806457715	0.001
346.071020537	0.001
346.335575145	0.001
346.600121538	0.001
346.864659716	0.001
347.129189678	0.001
347.393711425	0.001
347.658224954	0.001
347.922730267	0.001
348.187227361	0.001
348.451716238	0.001
348.716196895	0.001
348.980669333	0.001
349.245133552	0.001
349.509589549	0.001
349.774037326	0.001
350.038476882	0.001
350.302908215	0.001
350.567331326	0.001
350.831746213	0.001
351.096152877	0.001
351.360551317	0.001
351.624941532	0.001
351.889323521	0.001
352.153697285	0.001
352.418062823	0.001
352.682420134	0.001
352.946769217	0.001
353.211110072	0.001
353.475442699	0.001
353.739767097	0.001
354.004083265	0.001
354.268391203	0.001
354.532690911	0.001
354.796982388	0.001
355.061265632	0.001
355.325540645	0.001
355.589807425	0.001
355.854065971	0.001
356.118316284	0.001
356.382558362	0.001
356.646792205	0.001
356.911017813	0.001
357.175235185	0.001
357.43944432	0.001
357.703645219	0.001
357.967837879	0.001
358.232022302	0.001
358.496198486	0.001
358.760366431	0.001
359.024526136	0.001
359.288677601	0.001
359.552820825	0.001
359.816955807	0.001
360.081082548	0.001
360.345201046	0.001
360.609311302	0.001
360.873413314	0.001
361.137507081	0.001
361.401592605	0.001
361.665669883	0.001
361.929738916	0.001
362.193799702	0.001
362.457852242	0.001
362.721896534	0.001
362.985932579	0.001
363.249960376	0.001
363.513979923	0.001
363.777991221	0.001
364.04199427	0.001
364.305989068	0.001
364.569975614	0.001
364.83395391	0.001
365.097923953	0.001
365.361885744	0.001
365.625839281	0.001
365.889784565	0.001
366.153721595	0.001
366.41765037	0.001
366.68157089	0.001
366.945483154	0.001
367.209387161	0.001
367.473282912	0.001
367.737170405	0.001
368.001049641	0.001
368.264920617	0.001
368.528783335	0.001
368.792637793	0.001
369.056483992	0.001
369.320321929	0.001
369.584151606	0.001
369.84797302	0.001
370.111786173	0.001
370.375591062	0.001
370.639387689	0.001
370.903176051	0.001
371.166956149	0.001
371.430727982	0.001
371.69449155	0.001
371.958246852	0.001
372.221993887	0.001
372.485732655	0.001
372.749463156	0.001
373.013185388	0.001
373.276899352	0.001
373.540605047	0.001
373.804302472	0.001
374.067991626	0.001
374.33167251	0.001
374.595345122	0.001
374.859009463	0.001
375.122665531	0.001
375.386313326	0.001
375.649952848	0.001
375.913584095	0.001
376.177207069	0.001
376.440821766	0.001
376.704428189	0.001
376.968026335	0.001
377.231616204	0.001
377.495197797	0.001
377.758771111	0.001
378.022336147	0.001
378.285892905	0.001
378.549441383	0.001
378.812981581	0.001
379.076513498	0.001
379.340037135	0.001
379.60355249	0.001
379.867059563	0.001
380.130558353	0.001
380.39404886	0.001
380.657531084	0.001
380.921005023	0.001
381.184470678	0.001
381.447928047	0.001
381.71137713	0.001
381.974817928	0.001
382.238250438	0.001
382.501674661	0.001
382.765090596	0.001
383.028498242	0.001
383.291897599	0.001
383.555288667	0.001
383.818671445	0.001
384.082045932	0.001
384.345412128	0.001
384.608770032	0.001
384.872119644	0.001
385.135460963	0.001
385.398793989	0.001
385.662118721	0.001
385.925435158	0.001
386.188743301	0.001
386.452043148	0.001
386.7153347	0.001
386.978617954	0.001
387.241892912	0.001
387.505159572	0.001
387.768417934	0.001
388.031667997	0.001
388.294909761	0.001
388.558143225	0.001
388.821368389	0.001
389.084585252	0.001
389.347793814	0.001
389.610994074	0.001
389.874186031	0.001
390.137369686	0.001
390.400545037	0.001
390.663712084	0.001
390.926870826	0.001
391.190021264	0.001
391.453163395	0.001
391.716297221	0.001
391.97942274	0.001
392.242539951	0.001
392.505648855	0.001
392.76874945	0.001
393.031841737	0.001
393.294925714	0.001
393.558001381	0.001
393.821068738	0.001
394.084127784	0.001
394.347178518	0.001
394.61022094	0.001
394.87325505	0.001
395.136280846	0.001
395.399298329	0.001
395.662307498	0.001
395.925308352	0.001
396.18830089	0.001
396.451285113	0.001
396.714261019	0.001
396.977228609	0.001
397.240187881	0.001
397.503138835	0.001
397.76608147	0.001
398.029015787	0.001
398.291941784	0.001
398.55485946	0.001
398.817768817	0.001
399.080669852	0.001
399.343562565	0.001
399.606446956	0.001
399.869323024	0.001
400.132190769	0.001
400.39505019	0.001
400.657901287	0.001
400.920744059	0.001
401.183578505	0.001
401.446404625	0.001
401.709222419	0.001
401.972031885	0.001
402.234833025	0.001
402.497625835	0.001
402.760410318	0.001
403.023186471	0.001
403.285954294	0.001
403.548713787	0.001
403.811464949	0.001
404.07420778	0.001
404.336942279	0.001
404.599668445	0.001
404.862386279	0.001
405.125095778	0.001
405.387796944	0.001
405.650489776	0.001
405.913174272	0.001
406.175850433	0.001
406.438518257	0.001
406.701177745	0.001
406.963828895	0.001
407.226471708	0.001
407.489106182	0.001
407.751732318	0.001
408.014350114	0.001
408.27695957	0.001
408.539560685	0.001
408.80215346	0.001
409.064737893	0.001
409.327313984	0.001
409.589881733	0.001
409.852441138	0.001
410.114992199	0.001
410.377534917	0.001
